Status,Ingredient,Product Name,ASIN,Confidence,Issues,Notes,Action Needed,Link
NEEDS-REVIEW,"ground chicken","Fresh Is Best Freeze Dried Chicken Breast",B0BXZVFN6G,MEDIUM,"Duplicate ASIN shared with: chicken giblets","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
AUTO-INVALID,"ground beef (lean)","US Wellness Meats Pet Burger",B07VHR2WNZ,LOW,"CRITICAL: Missing required tokens: beef, ground; CRITICAL: Contains forbidden tokens: burger; WARNING: No acceptable form found. Expected one of: raw, frozen, fresh, lean","❌ Failed validation - likely wrong product",FIND NEW ASIN,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
AUTO-INVALID,"ground lamb","Raw Paws Lamb Recipe Rolls",B0082C00P8,HIGH,"Dead link (HTTP 405)","NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
NEEDS-REVIEW,"chicken hearts","Vital Essentials Freeze Dried Chicken Hearts",B0BXZ3JJL9,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, frozen, fresh","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
NEEDS-REVIEW,"sardines (canned in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,MEDIUM,"WARNING: No acceptable form found. Expected one of: canned, water packed","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
NEEDS-REVIEW,"turkey giblets","Vital Essentials Freeze Dried Turkey Giblets",B0BXZ3JJL9,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, frozen, fresh","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
NEEDS-REVIEW,"chicken giblets","Fresh Is Best Freeze Dried Chicken Giblets",B0BXZVFN6G,MEDIUM,"Duplicate ASIN shared with: ground chicken","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
AUTO-INVALID,"venison","Fresh Is Best Freeze Dried Venison Bites",B07VHR2WNZ,LOW,"CRITICAL: Missing required tokens: deer","❌ Failed validation - likely wrong product",FIND NEW ASIN,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
AUTO-INVALID,"rabbit meat","Evanger's Rabbit Grain Free Cans",B0082C00P8,HIGH,"Dead link (HTTP 405)","NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
NEEDS-REVIEW,"brown rice","Lundberg Family Farms Organic Brown Rice",B072JNNB33,MEDIUM,"WARNING: No acceptable form found. Expected one of: whole grain, long grain, short grain","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B072JNNB33?tag=robinfrench-20
NEEDS-REVIEW,"kale","Earthbound Farm Organic Kale",B09VKDGT39,MEDIUM,"Duplicate ASIN shared with: celery","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
NEEDS-REVIEW,"celery","Earthbound Farm Organic Celery",B09VKDGT39,MEDIUM,"Duplicate ASIN shared with: kale","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
NEEDS-REVIEW,"lettuce (romaine)","Organic Girl Romaine Lettuce",B0F3YTY4XQ,MEDIUM,"Duplicate ASIN shared with: romaine lettuce","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B0F3YTY4XQ?tag=robinfrench-20
AUTO-INVALID,"endive","Organic Endive Greens",B0006L2XNK,HIGH,"Dead link (HTTP 405)","NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0006L2XNK?tag=robinfrench-20
NEEDS-REVIEW,"salmon oil","Grizzly Salmon Plus Omega-3 Oil",B09RYYWHH1,MEDIUM,"Duplicate ASIN shared with: omega-3 oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B09RYYWHH1?tag=robinfrench-20
NEEDS-REVIEW,"fish oil","Nordic Naturals Omega-3 Pet",B00CBY93XS,MEDIUM,"Duplicate ASIN shared with: herring oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
NEEDS-REVIEW,"calcium carbonate","NOW Supplements Calcium Carbonate Powder",B004421K68,MEDIUM,"Duplicate ASIN shared with: eggshells (crushed)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B004421K68?tag=robinfrench-20
NEEDS-REVIEW,"b-complex","Thorne B-Complex #12",B01INRFW0E,MEDIUM,"Duplicate ASIN shared with: vitamin b complex","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B01INRFW0E?tag=robinfrench-20
NEEDS-REVIEW,"joint supplement","Cosequin DS Plus MSM for Dogs",B003ULL1NQ,MEDIUM,"Duplicate ASIN shared with: chondroitin sulfate, glucosamine sulfate, joint health supplement","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20
NEEDS-REVIEW,"hairball paste","Tomlyn Laxatone Hairball Remedy",B07B282MR4,MEDIUM,"Duplicate ASIN shared with: hairball control paste","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07B282MR4?tag=robinfrench-20
NEEDS-REVIEW,"chicken broth","Brutus Bone Broth for Dogs No Salt",B07DFNP37Y,MEDIUM,"Duplicate ASIN shared with: bone broth (low sodium)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B07DFNP37Y?tag=robinfrench-20
NEEDS-REVIEW,"niger seed","Lafeber's Parrot Food Niger Seed",B086211R4H,MEDIUM,"WARNING: Only 33% of required tokens present","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"oat groats","Lafeber's Parrot Food Oat Groats",B086211R4H,MEDIUM,"Duplicate ASIN shared with: niger seed, hemp seeds, sesame seeds, chia seeds, pellets (fortified)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"sesame seeds","Lafeber's Parrot Food Sesame Seed",B086211R4H,MEDIUM,"Duplicate ASIN shared with: niger seed, oat groats, hemp seeds, chia seeds, pellets (fortified)","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"rapeseed","Lafeber's Parrot Food Rapeseed",B00027ZVG4,MEDIUM,"Duplicate ASIN shared with: canary seed, flaxseeds, sunflower seeds (small amounts), pumpkin seeds, cuttlebone","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"sunflower seeds (small amounts)","Lafeber's Parrot Food Sunflower Seed",B00027ZVG4,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, shelled, unshelled","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"pumpkin seeds","Lafeber's Parrot Food Pumpkin Seed",B00027ZVG4,MEDIUM,"WARNING: No acceptable form found. Expected one of: raw, shelled, pepitas","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"mango","Organic Mango",B00WM6CHFQ,MEDIUM,"Duplicate ASIN shared with: chia seed oil","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
NEEDS-REVIEW,"egg (hard-boiled)","Vital Essentials Freeze Dried Egg Yolk Treats",B0BWBNT8JX,MEDIUM,"WARNING: No acceptable form found. Expected one of: hard boiled, hard-boiled, boiled, whole","⚠️ Ambiguous - manual review needed",VERIFY,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
NEEDS-REVIEW,"pellets (fortified)","Lafeber's Parrot Food Pellets",B086211R4H,MEDIUM,"Duplicate ASIN shared with: niger seed, oat groats, hemp seeds, sesame seeds, chia seeds","⚠️ Duplicate ASIN - verify if appropriate",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
