id,displayName,platform,handle,profileUrl,tags,personalizationNotes,recentContentHook,status,lastContactedAt,notes
instagram_petnutritionbylynn,Pet Nutrition by Lynn,instagram,petnutritionbylynn,https://www.instagram.com/petnutritionbylynn/,"pet-nutrition,certified",Certified Pet Nutritionist | Evidence-based advice,,"not_contacted,,",,
instagram_petfooddudes,Pet Food Dudes,instagram,petfooddudes,https://www.instagram.com/petfooddudes/,"pet-food,reviews",Honest pet food reviews | Ingredient analysis,,"not_contacted,,",,
instagram_homemadeforyou,Home Made For You,instagram,homemadeforyou,https://www.instagram.com/homemadeforyou/,homemade-pet-food,Homemade pet food recipes | Real ingredients,,"not_contacted,,",,
instagram_pawsomekitchen,Pawsome Kitchen,instagram,pawsomekitchen,https://www.instagram.com/pawsomekitchen/,"fresh-pet-food,meal-prep",Fresh food for dogs | Meal prep tips,,"not_contacted,,",,
instagram_rawfed.miami,Raw Fed Miami,instagram,rawfed.miami,https://www.instagram.com/rawfed.miami/,"raw-feeding,miami",Raw feeding advocate | Miami-based | Local delivery,,"not_contacted,,",,
instagram_dogsfriendsireland,Dogs First Ireland,instagram,dogsfriendsireland,https://www.instagram.com/dogsfriendsireland/,"dog-health,community",Community for dog health & nutrition | Run by Dr. Conor Brady,,"not_contacted,,",,
instagram_laguasca,La Guasca Co,instagram,laguasca.co,https://www.instagram.com/laguasca.co/,"pet-nutrition,bilingual",Certified nutritional advisor for dogs/cats | Spanish-speaking,,"not_contacted,,",,
instagram_holisticpetinfo,Holistic Pet Info,instagram,holisticpetinfo,https://www.instagram.com/holisticpetinfo/,"holistic-pet,natural",Holistic pet health + nutrition | Natural remedies,,"not_contacted,,",,
instagram_thecaninedietitian,The Canine Dietitian,instagram,thecaninedietitian,https://www.instagram.com/thecaninedietitian/,"dog-nutrition,consultant",Dog Nutritionist | International consults | Owns @thecaninecode,,"not_contacted,,",,
instagram_nutritionrvn,Nutrition RVN,instagram,nutritionrvn,https://www.instagram.com/nutritionrvn/,"vet-nutrition,evidence-based",Vet Nurse Specialist in Nutrition | Registered Veterinary Nurse,,contacted,2026-01-06T04:26:31.432Z,
tiktok_catfoodtruth,Cat Food Truth,tiktok,catfoodtruth,https://www.tiktok.com/@catfoodtruth,"cat-food,analysis",Truth about cat food | Ingredient analysis,,"not_contacted,,",,
tiktok_catnutritiontips,Cat Nutrition Tips,tiktok,catnutritiontips,https://www.tiktok.com/@catnutritiontips,"cat-nutrition,diets",Cat nutrition tips | Species-appropriate diets,,"not_contacted,,",,
tiktok_freshfeedingmama,Fresh Feeding Mama,tiktok,freshfeedingmama,https://www.tiktok.com/@freshfeedingmama,"fresh-feeding,mom",Fresh feeding mom of 3 dogs | Real recipes,,"not_contacted,,",,
